unfiltered	filtered	sample
11132	10992	2017-11-15-3642-PR2-0072-B
113185	111706	2017-11-17-3779-PR2-0061-A
103436	101917	2017-11-17-3779-PR2-0061-B
8929	3	2017-11-20-3148-PR2-010-a
15436	4	2017-11-20-3148-PR2-010-b
8369	2	2017-11-20-3150-PR2-010-a
14124	2	2017-11-20-3150-PR2-010-b
61754	60851	2017-11-20-3154-PR2-0062-A
45350	44647	2017-11-20-3154-PR2-0062-B
19677	19464	2017-11-20-3190-PR2-0071-A
28090	27791	2017-11-20-3190-PR2-0071-B
281	241	2017-11-20-3202-PR2-0062-A
370	331	2017-11-20-3202-PR2-0062-B
16514	16311	2017-11-20-3205-PR2-008-A
8845	8734	2017-11-20-3205-PR2-008-B
17	0	2017-11-20-3371-PR2-009-A
39	0	2017-11-20-3371-PR2-009-B
3066	1	2017-11-20-3371-PR2-011-a
7986	2	2017-11-20-3371-PR2-011-b
22266	21900	2017-11-20-3649-PR2-008-A
28112	27699	2017-11-20-3649-PR2-008-B
61	16	2017-11-20-3659-PR2-0061-A
8960	8848	2017-11-20-3659-PR2-0061-B
40977	40298	2017-11-20-3661-PR2-009-A
8	0	2017-11-20-3661-PR2-009-B
86389	83624	2017-11-20-3661-PR2-011-a
413491	398334	2017-11-20-3661-PR2-011-b
66254	65439	2017-11-20-3665-PR2-0061-A
65784	64913	2017-11-20-3665-PR2-0061-B
24362	24029	2017-11-21-3672-PR2-0071-A
18914	18682	2017-11-21-3672-PR2-0071-B
19826	19603	2017-11-21-3673-PR2-008-A
35301	34869	2017-11-21-3673-PR2-008-B
69	66	2017-11-21-3677-PR2-0071-A
132	128	2017-11-21-3677-PR2-0071-B
1877	0	2017-11-21-3684-PR2-010-a
12057	1	2017-11-21-3684-PR2-010-b
6805	6730	2017-11-21-3685-PR2-0071-A
24602	24358	2017-11-21-3685-PR2-0071-B
71288	70345	2017-11-22-3708-PR2-0061-A
93597	92464	2017-11-22-3708-PR2-0061-B
34804	34309	2017-11-22-3709-PR2-0071-A
43319	42796	2017-11-22-3709-PR2-0071-B
27531	27209	2017-11-22-3713-PR2-0072-A
38853	38431	2017-11-22-3713-PR2-0072-B
3422	3341	2017-11-22-3714-PR2-0062-A
7988	7893	2017-11-22-3714-PR2-0062-B
18	0	2017-11-22-3718-PR2-009-A
182	140	2017-11-22-3718-PR2-009-B
2125	0	2017-11-22-3718-PR2-010-a
24656	23777	2017-11-22-3718-PR2-010-b
21526	21222	2017-11-22-3719-PR2-008-A
2888	2815	2017-11-22-3719-PR2-008-B
12321	12122	2017-11-22-3720-PR2-0072-A
36520	36119	2017-11-22-3720-PR2-0072-B
27210	26891	2017-11-22-3728-PR2-008-A
28733	28407	2017-11-22-3728-PR2-008-B
16245	3	2017-11-27-3745-PR2-010-a
14242	4	2017-11-27-3745-PR2-010-b
17090	16851	2017-11-27-3746-PR2-0071-A
14965	14769	2017-11-27-3746-PR2-0071-B
2088	2036	2017-11-27-3747-PR2-0062-A
7396	7259	2017-11-27-3747-PR2-0062-B
55441	54684	2017-11-27-3758-PR2-009-A
122	0	2017-11-27-3758-PR2-009-B
20899	20228	2017-11-27-3758-PR2-011-a
21837	21141	2017-11-27-3758-PR2-011-b
2786	2734	2017-11-27-3761-PR2-0062-A
5362	5271	2017-11-27-3761-PR2-0062-B
12390	11877	2017-11-27-3762-PR2-010-a
11979	6	2017-11-27-3762-PR2-010-b
24957	24595	2017-11-27-3766-PR2-0071-A
32207	31770	2017-11-27-3766-PR2-0071-B
22543	22188	2017-11-27-3773-PR2-008-A
27578	27230	2017-11-27-3773-PR2-008-B
20775	20464	2017-11-27-3777-PR2-008-A
28447	28054	2017-11-27-3777-PR2-008-B
54518	53685	2017-11-27-3779-PR2-009-A
54	0	2017-11-27-3779-PR2-009-B
19728	19214	2017-11-27-3779-PR2-011-a
34121	33198	2017-11-27-3779-PR2-011-b
294	188	2017-11-28-3783-PR2-009-A
39205	38761	2017-11-28-3783-PR2-009-B
8871	2	2017-11-28-3783-PR2-010-a
8367	3	2017-11-28-3783-PR2-010-b
48453	47697	2017-11-28-3785-PR2-009-A
41422	40888	2017-11-28-3785-PR2-009-B
10424	10286	2017-11-28-3786-PR2-0071-A
14889	14728	2017-11-28-3786-PR2-0071-B
34564	34119	2017-11-28-3787-PR2-009-A
78162	77174	2017-11-28-3787-PR2-009-B
33668	33244	2017-11-28-3803-PR2-009-A
42353	41734	2017-11-28-3803-PR2-009-B
240	196	2017-11-28-3805-PR2-0062-A
1361	1324	2017-11-28-3805-PR2-0062-B
208	194	2017-11-28-3816-PR2-0072-A
2485	2423	2017-11-28-3816-PR2-0072-B
30945	30586	2017-11-28-3818-PR2-0071-A
25162	24821	2017-11-28-3818-PR2-0071-B
22004	21694	2017-11-29-3079-PR2-008-A
32290	31827	2017-11-29-3079-PR2-008-B
24571	24233	2017-11-29-3093-PR2-008-A
24356	24057	2017-11-29-3093-PR2-008-B
28853	28449	2017-11-29-3096-PR2-0071-A
32886	32427	2017-11-29-3096-PR2-0071-B
1603	1552	2017-11-29-3315-PR2-0062-A
1223	1159	2017-11-29-3315-PR2-0062-B
29510	29108	2017-11-29-3364-PR2-0071-A
26974	26628	2017-11-29-3364-PR2-0071-B
66456	65644	2017-11-29-3505-PR2-009-A
27	2	2017-11-29-3505-PR2-009-B
1968	1	2017-11-29-3505-PR2-011-a
31453	29999	2017-11-29-3505-PR2-011-b
43138	42577	2017-11-29-3510-PR2-009-A
4	0	2017-11-29-3510-PR2-009-B
12781	2	2017-11-29-3510-PR2-011-a
22062	21082	2017-11-29-3510-PR2-011-b
1	0	2017-12-04-3001-PR2-009-A
11	0	2017-12-04-3001-PR2-009-B
22410	15197	2017-12-04-3001-PR2-011-a
28750	27015	2017-12-04-3001-PR2-011-b
