total	mapped	paired	sample
43464	43068	42776	2017-12-11-3542-PR2-0061-B
52332	51970	51656	2017-12-11-3546-PR2-0072-A
54722	54391	54120	2017-12-11-3546-PR2-0072-B
174	0	0	2017-12-11-3547-PR2-008-A
40572	40188	39888	2017-12-11-3547-PR2-008-B
3138	3	0	2017-12-11-3547-PR2-010-a
2818	9	8	2017-12-11-3547-PR2-010-b
37992	37714	37510	2017-12-11-3557-PR2-008-A
36476	36159	35888	2017-12-11-3557-PR2-008-B
270	238	234	2017-12-12-3575-PR2-009-A
426	0	0	2017-12-12-3575-PR2-009-B
19940	15	0	2017-12-12-3575-PR2-010-a
4498	6	2	2017-12-12-3575-PR2-010-b
4874	4840	4810	2017-12-12-3577-PR2-0072-A
11676	11553	11466	2017-12-12-3577-PR2-0072-B
10980	10829	10750	2017-12-12-3578-PR2-0061-A
8236	8123	8082	2017-12-12-3578-PR2-0061-B
150	142	142	2017-12-12-3579-PR2-0071-A
428	406	404	2017-12-12-3579-PR2-0071-B
41752	41311	40986	2017-12-12-3580-PR2-008-A
12488	12382	12292	2017-12-12-3580-PR2-008-B
5232	3	2	2017-12-12-3589-PR2-010-a
3892	10	8	2017-12-12-3589-PR2-010-b
144	48	48	2017-12-12-3602-PR2-0061-A
102	22	22	2017-12-12-3602-PR2-0061-B
70572	69940	69500	2017-12-12-3604-PR2-0061-A
81128	80476	79928	2017-12-12-3604-PR2-0061-B
536	466	460	2017-12-12-3614-PR2-0061-A
336	283	282	2017-12-12-3614-PR2-0061-B
32	0	0	2017-12-12-3615-PR2-009-A
104	0	0	2017-12-12-3615-PR2-009-B
25446	9	4	2017-12-12-3615-PR2-010-a
3230	2	0	2017-12-12-3615-PR2-010-b
2	2	2	2017-12-12-3616-PR2-0062-B
40838	40512	40230	2017-12-12-3617-PR2-008-A
72	0	0	2017-12-12-3617-PR2-008-B
250	1	0	2017-12-13-3627-PR2-009-B
13858	8	4	2017-12-13-3627-PR2-011-a
9334	1	0	2017-12-13-3627-PR2-011-b
8872	8767	8724	2017-12-13-3630-PR2-0061-A
12794	12588	12522	2017-12-13-3630-PR2-0061-B
44	0	0	2017-12-13-3637-PR2-008-A
54	0	0	2017-12-13-3637-PR2-008-B
3964	0	0	2017-12-13-3637-PR2-010-a
48108	41140	40878	2017-12-13-3637-PR2-010-b
40	0	0	2017-12-13-3642-PR2-008-A
18412	18270	18154	2017-12-13-3642-PR2-008-B
22760	17327	17192	2017-12-13-3642-PR2-010-a
36414	35825	35600	2017-12-13-3642-PR2-010-b
40	36	36	2017-12-18-3122-PR2-0071-A
40	38	38	2017-12-18-3122-PR2-0071-B
37912	37551	37304	2017-12-18-3148-PR2-008-A
8734	8672	8618	2017-12-18-3148-PR2-008-B
86566	85836	85296	2017-12-18-3154-PR2-0061-A
91132	90306	89720	2017-12-18-3154-PR2-0061-B
956	824	822	2017-12-18-3190-PR2-0062-A
1088	866	856	2017-12-18-3190-PR2-0062-B
698	675	672	2017-12-18-3202-PR2-0062-A
158	4	4	2017-12-18-3202-PR2-0062-B
12548	12445	12346	2017-12-18-3205-PR2-0062-A
17098	16965	16840	2017-12-18-3205-PR2-0062-B
6	0	0	2017-12-18-3649-PR2-009-A
78	0	0	2017-12-18-3649-PR2-009-B
4684	3	2	2017-12-18-3649-PR2-011-a
45422	44654	44216	2017-12-18-3649-PR2-011-b
1064	1060	1058	2017-12-18-3659-PR2-0062-B
24270	39	30	2017-12-18-3661-PR2-010-a
22460	18	10	2017-12-18-3661-PR2-010-b
340	188	188	2017-12-18-3665-PR2-0062-A
386	317	316	2017-12-18-3665-PR2-0062-B
24936	24510	24178	2017-12-18-3824-PR2-010-a
47352	46603	46054	2017-12-18-3824-PR2-010-b
