filtered	sample
2	2017-11-20-3150-PR2-010-a
2	2017-11-20-3150-PR2-010-b
60851	2017-11-20-3154-PR2-0062-A
44647	2017-11-20-3154-PR2-0062-B
19464	2017-11-20-3190-PR2-0071-A
27791	2017-11-20-3190-PR2-0071-B
241	2017-11-20-3202-PR2-0062-A
331	2017-11-20-3202-PR2-0062-B
16311	2017-11-20-3205-PR2-008-A
8734	2017-11-20-3205-PR2-008-B
0	2017-11-20-3371-PR2-009-A
0	2017-11-20-3371-PR2-009-B
1	2017-11-20-3371-PR2-011-a
2	2017-11-20-3371-PR2-011-b
21900	2017-11-20-3649-PR2-008-A
27699	2017-11-20-3649-PR2-008-B
16	2017-11-20-3659-PR2-0061-A
8848	2017-11-20-3659-PR2-0061-B
40298	2017-11-20-3661-PR2-009-A
0	2017-11-20-3661-PR2-009-B
83624	2017-11-20-3661-PR2-011-a
398334	2017-11-20-3661-PR2-011-b
65439	2017-11-20-3665-PR2-0061-A
64913	2017-11-20-3665-PR2-0061-B
24029	2017-11-21-3672-PR2-0071-A
18682	2017-11-21-3672-PR2-0071-B
19603	2017-11-21-3673-PR2-008-A
34869	2017-11-21-3673-PR2-008-B
66	2017-11-21-3677-PR2-0071-A
128	2017-11-21-3677-PR2-0071-B
0	2017-11-21-3684-PR2-010-a
1	2017-11-21-3684-PR2-010-b
6730	2017-11-21-3685-PR2-0071-A
24358	2017-11-21-3685-PR2-0071-B
70345	2017-11-22-3708-PR2-0061-A
92464	2017-11-22-3708-PR2-0061-B
34309	2017-11-22-3709-PR2-0071-A
42796	2017-11-22-3709-PR2-0071-B
27209	2017-11-22-3713-PR2-0072-A
38431	2017-11-22-3713-PR2-0072-B
3341	2017-11-22-3714-PR2-0062-A
7893	2017-11-22-3714-PR2-0062-B
0	2017-11-22-3718-PR2-009-A
140	2017-11-22-3718-PR2-009-B
0	2017-11-22-3718-PR2-010-a
23777	2017-11-22-3718-PR2-010-b
21222	2017-11-22-3719-PR2-008-A
2815	2017-11-22-3719-PR2-008-B
12122	2017-11-22-3720-PR2-0072-A
