s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2018-06-12-3786	pfama1.06	67	0.18559562170335334	36026(80.8%)	4	2	0.2091179372646188	7616	2
2018-06-12-3786	pfama1.05	71	0.19667595007560182	36026(80.8%)	4	3	0.08602127419361776	3122	2
2018-06-12-3787	pfama1.04	80	1.0	54082(87.5%)	1	0	1.0	54082	2
2018-06-12-3805	pfama1.01	136	1.0	53634(88.7%)	1	0	1.0	53634	2
2018-06-12-3816	pfama1.00	148	1.0	54543(82.3%)	1	0	1.0	54543	2
2018-06-13-3079	pfama1.01	136	1.0	44480(92.6%)	1	0	1.0	44480	2
2018-06-13-3081	pfama1.01	136	1.0	3582(95.6%)	1	0	1.0	3582	2
2018-06-13-3095	pfama1.07	64	1.0	35131(90.1%)	1	0	1.0	35131	2
2018-06-13-3096	pfama1.18	30	0.14150931688324153	39094(87.1%)	4	0	0.5788285788285789	22624	2
2018-06-13-3096	pfama1.05	71	0.33490559012994486	39094(87.1%)	4	1	0.21413021413021416	8326	2
2018-06-13-3096	pfama1.10	62	0.29245300190457907	39094(87.1%)	4	2	0.146998146998147	5802	2
2018-06-13-3096	pfama1.13	49	0.23113209108223448	39094(87.1%)	4	3	0.06004306004306004	2342	2
2018-06-13-3313	pfama1.18	30	1.0	32830(89.3%)	1	0	1.0	32830	2
2018-06-13-3315	pfama1.13	49	0.5568181251937123	37617(76%)	2	0	0.596978	22670	2
2018-06-13-3315	pfama1.14	39	0.4431818748062876	37617(76%)	2	1	0.403022	14947	2
2018-06-13-3364	pfama1.20	28	1.0	57910(91.6%)	1	0	1.0	57910	2
2018-06-13-3506	pfama1.08	64	1.0	27095(83%)	1	0	1.0	27095	1
2018-06-13-3510	pfama1.12	54	0.7826081982986198	47392(79.1%)	2	0	0.73965	34923	2
2018-06-13-3510	pfama1.27	15	0.21739180170138017	47392(79.1%)	2	1	0.26035	12469	2
2018-06-18-3164	pfama1.12	54	0.2660101395210189	79756(94.7%)	2	0	0.557357	44158	2
2018-06-18-3164	pfama1.00	148	0.7339898604789811	79756(94.7%)	2	1	0.442643	35598	2
2018-06-19-3046	pfama1.04	80	1.0	38098(60%)	1	0	1.0	38098	2
2018-06-19-3285	pfama1.01	136	0.41975297280134777	20077(79.7%)	3	0	0.8090257119426265	16238	2
2018-06-19-3285	pfama1.02	124	0.3827159457894642	20077(79.7%)	3	1	0.18872716607990614	3793	2
2018-06-19-3285	pfama1.08	64	0.19753108140918813	20077(79.7%)	3	2	0.00224712197746734	46	2
2018-06-19-3393	pfama1.24	20	1.0	23572(85.8%)	1	0	1.0	23572	1
2018-06-19-3527	pfama1.02	124	1.0	31547(88.7%)	1	0	1.0	31547	1
2018-06-20-3555	pfama1.05	71	0.5546874625305152	61965(77.6%)	2	0	0.817016	50522	2
2018-06-20-3555	pfama1.11	57	0.4453125374694849	61965(77.6%)	2	1	0.18298399999999998	11443	2
2018-06-20-3626	pfama1.03	85	1.0	42350(93.5%)	1	0	1.0	42350	2
2018-06-25-3541	pfama1.08	64	1.0	50423(84.8%)	1	0	1.0	50423	2
2018-06-25-3542	pfama1.25	18	0.375	43509(68.1%)	2	0	0.724263	31685	2
2018-06-25-3542	pfama1.17	30	0.625	43509(68.1%)	2	1	0.275737	11824	2
2018-06-25-3554	pfama1.00	148	1.0	13153(88.4%)	1	0	1.0	13153	1
2018-06-25-3555	pfama1.05	71	1.0	57174(79.5%)	1	0	1.0	57174	2
2018-06-25-3570	pfama1.00	148	1.0	4880(98.8%)	1	0	1.0	4880	2
2018-06-25-3685	pfama1.03	85	1.0	34907(98.7%)	1	0	1.0	34907	2
2018-06-26-3575	pfama1.00	148	1.0	57944(84.5%)	1	0	1.0	57944	2
2018-06-26-3578	pfama1.11	57	0.12391311518009682	30532(73.6%)	8	0	0.6202185658470039	18930	2
2018-06-26-3578	pfama1.09	62	0.134782773651321	30532(73.6%)	8	1	0.10150892894374974	3112	2
2018-06-26-3578	pfama1.19	30	0.06521737887050344	30532(73.6%)	8	2	0.09610033272976708	2953	2
2018-06-26-3578	pfama1.00	148	0.323912505092799	30532(73.6%)	8	3	0.05727585990689807	1737	2
2018-06-26-3578	pfama1.12	54	0.1173912819669062	30532(73.6%)	8	4	0.043345869657891244	1305	2
2018-06-26-3578	pfama1.16	31	0.0673913868256605	30532(73.6%)	8	5	0.039673372228639446	1217	2
2018-06-26-3578	pfama1.07	64	0.13913059890935456	30532(73.6%)	8	6	0.021970384620730768	673	2
2018-06-26-3578	pfama1.33	13	0.028260959503358437	30532(73.6%)	8	7	0.019906686065319753	605	2
2018-06-26-3579	pfama1.34	9	1.0	64336(92.4%)	1	0	1.0	64336	2
2018-06-26-3597	pfama1.13	49	1.0	36943(90.4%)	1	0	1.0	36943	2
2018-06-26-3602	pfama1.00	148	0.49999955855645606	30578(89.1%)	5	0	0.9696379515181024	29656	2
2018-06-26-3602	pfama1.21	28	0.09395978684751333	30578(89.1%)	5	1	0.01922739903863005	551	2
2018-06-26-3602	pfama1.15	32	0.10738261354001524	30578(89.1%)	5	2	0.006637829668108517	228	2
2018-06-26-3602	pfama1.03	85	0.29194662770976443	30578(89.1%)	5	3	0.002806869859656507	89	2
2018-06-26-3602	pfama1.46	1	0.006711413346250953	30578(89.1%)	5	4	0.0016899499155025044	54	2
2018-06-26-3604	pfama1.02	124	0.12313799622915961	10951(87.6%)	16	0	0.23637471635034032	2598	2
2018-06-26-3604	pfama1.00	148	0.14796398742031336	10951(87.6%)	16	1	0.1910777707066751	2095	2
2018-06-26-3604	pfama1.26	16	0.015888773706988334	10951(87.6%)	16	2	0.1490438211474146	1629	2
2018-06-26-3604	pfama1.12	54	0.053624611261085635	10951(87.6%)	16	3	0.12851684577978506	1413	2
2018-06-26-3604	pfama1.35	9	0.008937478755384037	10951(87.6%)	16	4	0.06279632464441041	684	2
2018-06-26-3604	pfama1.13	49	0.04865941302285488	10951(87.6%)	16	5	0.036146356624372045	398	2
2018-06-26-3604	pfama1.06	67	0.06653428344321675	10951(87.6%)	16	6	0.03562515724981129	384	2
2018-06-26-3604	pfama1.21	28	0.027805353987229584	10951(87.6%)	16	7	0.03373545951744857	362	2
2018-06-26-3604	pfama1.10	62	0.061569085204985996	10951(87.6%)	16	8	0.032507060991526796	352	2
2018-06-26-3604	pfama1.08	64	0.06355518191835954	10951(87.6%)	16	9	0.025972368833157393	283	2
2018-06-26-3604	pfama1.01	136	0.13505457650940084	10951(87.6%)	16	10	0.0242389709132349	269	2
2018-06-26-3604	pfama1.03	85	0.08639525057695217	10951(87.6%)	16	11	0.019840276191668563	218	2
2018-06-26-3604	pfama1.30	15	0.014895768895504662	10951(87.6%)	16	12	0.012002685596777281	133	2
2018-06-26-3604	pfama1.05	71	0.07050647686996384	10951(87.6%)	16	13	0.005560573327312006	60	2
2018-06-26-3604	pfama1.09	62	0.061569085204985996	10951(87.6%)	16	14	0.003331126002648796	37	2
2018-06-26-3604	pfama1.31	14	0.013902676993614792	10951(87.6%)	16	15	0.003230486123416651	36	2
2018-06-26-3614	pfama1.02	124	0.9612403100775194	65172(89%)	2	0	0.9163732749119824	59739	2
2018-06-26-3614	pfama1.40	5	0.03875968992248062	65172(89%)	2	1	0.08362672508801752	5433	2
2018-06-26-3616	pfama1.02	124	1.0	47427(86.9%)	1	0	1.0	47427	2
2018-06-26-3825	pfama1.00	148	1.0	22905(98.6%)	1	0	1.0	22905	2
2018-06-27-3629	pfama1.03	85	1.0	68619(87.6%)	1	0	1.0	68619	2
2018-06-27-3630	pfama1.14	39	1.0	41844(85.1%)	1	0	1.0	41844	1
2018-06-28-3642	pfama1.02	124	1.0	49065(84.5%)	1	0	1.0	49065	2
2018-06-30-3046	pfama1.24	20	1.0	51154(99.3%)	1	0	1.0	51154	2
2018-07-02-3122	pfama1.03	85	0.3425197394135009	59607(80.3%)	3	0	0.669074	40541	2
2018-07-02-3122	pfama1.01	136	0.5354328859940972	59607(80.3%)	3	1	0.17890899999999998	10319	2
